Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
N1-14L,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955.0,47.224,LRP043,13208.0,55.477,8.253,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1044', 'Z1042']",N1,,23.5306938,90.7924441,Intersection,Z1044,Z1042,
N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,4955.0,47.224,LRP043,13208.0,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,road,"['Z1044', 'Z1042']",N1,,23.5306938,90.7924441,Intersection,Z1044,Z1042,
,Ginlatoly bridge,,,48.384,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5318234765,90.8110155135,Bridge,,,
,Ginlatoly,,,48.384,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5318234765,90.8110155135,Bridge,,,
,RAIPUR BOX CULVERT,,,50.558,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5329743291,90.8309774761999,Bridge,,,
,AITAL BANGA BOX CULVERT,,,52.313,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5229166652,90.8442186132,Bridge,,,
N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208.0,55.477,LRP043,20009.0,62.278,6.801,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,road,"['Z1042', 'Z1017']",N1,,23.5126667,90.871416,Intersection,Z1042,Z1017,
N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,13208.0,55.477,LRP043,20009.0,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1042', 'Z1017']",N1,,23.5126667,90.871416,Intersection,Z1042,Z1017,
,Illiot bazar Bridge,,,56.006,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.510087758207,90.8757204035353,Bridge,,,
,ILLIOT BAZER,,,56.006,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.510087758207,90.8757204035353,Bridge,,,
,KHAT GHOR BOX CULVERT,,,58.838,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5060024341,90.9021745389,Bridge,,,
,BAKRA BOX CULVERT,,,60.83,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5056131416,90.9214660218,Bridge,,,
